>nbody.exe 3000 0.01 < testInput1.in > o10k.out
On Step 2690/3000 - Time Spent: 13347.1
On Step 2692/3000 - Time Spent: 13357
On Step 2694/3000 - Time Spent: 13367
On Step 2696/3000 - Time Spent: 13376.9
On Step 2698/3000 - Time Spent: 13386.8
On Step 2700/3000 - Time Spent: 13396.8
On Step 2702/3000 - Time Spent: 13406.7
On Step 2704/3000 - Time Spent: 13416.6
On Step 2706/3000 - Time Spent: 13426.6
On Step 2708/3000 - Time Spent: 13436.5
On Step 2710/3000 - Time Spent: 13446.4
On Step 2712/3000 - Time Spent: 13456.4
On Step 2714/3000 - Time Spent: 13466.3
On Step 2716/3000 - Time Spent: 13476.2
On Step 2718/3000 - Time Spent: 13486.2
On Step 2720/3000 - Time Spent: 13496.1
On Step 2722/3000 - Time Spent: 13506
On Step 2724/3000 - Time Spent: 13515.9
On Step 2726/3000 - Time Spent: 13525.9
On Step 2728/3000 - Time Spent: 13535.8
On Step 2730/3000 - Time Spent: 13545.7
On Step 2732/3000 - Time Spent: 13555.6
On Step 2734/3000 - Time Spent: 13565.5
On Step 2736/3000 - Time Spent: 13575.5
On Step 2738/3000 - Time Spent: 13585.4
On Step 2740/3000 - Time Spent: 13595.3
On Step 2742/3000 - Time Spent: 13605.2
On Step 2744/3000 - Time Spent: 13615.2
On Step 2746/3000 - Time Spent: 13625.1
On Step 2748/3000 - Time Spent: 13635
On Step 2750/3000 - Time Spent: 13645
On Step 2752/3000 - Time Spent: 13654.9
On Step 2754/3000 - Time Spent: 13664.8
On Step 2756/3000 - Time Spent: 13674.7
On Step 2758/3000 - Time Spent: 13684.6
On Step 2760/3000 - Time Spent: 13694.6
On Step 2762/3000 - Time Spent: 13704.5
On Step 2764/3000 - Time Spent: 13714.4
On Step 2766/3000 - Time Spent: 13724.4
On Step 2768/3000 - Time Spent: 13734.3
On Step 2770/3000 - Time Spent: 13744.2
On Step 2772/3000 - Time Spent: 13754.2
On Step 2774/3000 - Time Spent: 13764.1
On Step 2776/3000 - Time Spent: 13774
On Step 2778/3000 - Time Spent: 13783.9
On Step 2780/3000 - Time Spent: 13793.9
On Step 2782/3000 - Time Spent: 13803.8
On Step 2784/3000 - Time Spent: 13813.7
On Step 2786/3000 - Time Spent: 13823.6
On Step 2788/3000 - Time Spent: 13833.6
On Step 2790/3000 - Time Spent: 13843.5
On Step 2792/3000 - Time Spent: 13853.4
On Step 2794/3000 - Time Spent: 13863.4
On Step 2796/3000 - Time Spent: 13873.3
On Step 2798/3000 - Time Spent: 13883.3
On Step 2800/3000 - Time Spent: 13893.2
On Step 2802/3000 - Time Spent: 13903.1
On Step 2804/3000 - Time Spent: 13913
On Step 2806/3000 - Time Spent: 13923
On Step 2808/3000 - Time Spent: 13932.9
On Step 2810/3000 - Time Spent: 13942.8
On Step 2812/3000 - Time Spent: 13952.7
On Step 2814/3000 - Time Spent: 13962.7
On Step 2816/3000 - Time Spent: 13972.6
On Step 2818/3000 - Time Spent: 13982.5
On Step 2820/3000 - Time Spent: 13992.4
On Step 2822/3000 - Time Spent: 14002.4
On Step 2824/3000 - Time Spent: 14012.3
On Step 2826/3000 - Time Spent: 14022.2
On Step 2828/3000 - Time Spent: 14032.1
On Step 2830/3000 - Time Spent: 14042.1
On Step 2832/3000 - Time Spent: 14052
On Step 2834/3000 - Time Spent: 14061.9
On Step 2836/3000 - Time Spent: 14071.8
On Step 2838/3000 - Time Spent: 14081.8
On Step 2840/3000 - Time Spent: 14091.7
On Step 2842/3000 - Time Spent: 14101.6
On Step 2844/3000 - Time Spent: 14111.6
On Step 2846/3000 - Time Spent: 14121.5
On Step 2848/3000 - Time Spent: 14131.4
On Step 2850/3000 - Time Spent: 14141.4
On Step 2852/3000 - Time Spent: 14151.3
On Step 2854/3000 - Time Spent: 14161.2
On Step 2856/3000 - Time Spent: 14171.1
On Step 2858/3000 - Time Spent: 14181.1
On Step 2860/3000 - Time Spent: 14191
On Step 2862/3000 - Time Spent: 14200.9
On Step 2864/3000 - Time Spent: 14210.8
On Step 2866/3000 - Time Spent: 14220.8
On Step 2868/3000 - Time Spent: 14230.7
On Step 2870/3000 - Time Spent: 14240.6
On Step 2872/3000 - Time Spent: 14250.5
On Step 2874/3000 - Time Spent: 14260.5
On Step 2876/3000 - Time Spent: 14270.4
On Step 2878/3000 - Time Spent: 14280.3
On Step 2880/3000 - Time Spent: 14290.2
On Step 2882/3000 - Time Spent: 14300.1
On Step 2884/3000 - Time Spent: 14310.1
On Step 2886/3000 - Time Spent: 14320
On Step 2888/3000 - Time Spent: 14329.9
On Step 2890/3000 - Time Spent: 14339.9
On Step 2892/3000 - Time Spent: 14349.8
On Step 2894/3000 - Time Spent: 14359.7
On Step 2896/3000 - Time Spent: 14369.6
On Step 2898/3000 - Time Spent: 14379.6
On Step 2900/3000 - Time Spent: 14389.5
On Step 2902/3000 - Time Spent: 14399.4
On Step 2904/3000 - Time Spent: 14409.3
On Step 2906/3000 - Time Spent: 14419.3
On Step 2908/3000 - Time Spent: 14429.2
On Step 2910/3000 - Time Spent: 14439.1
On Step 2912/3000 - Time Spent: 14449.1
On Step 2914/3000 - Time Spent: 14459
On Step 2916/3000 - Time Spent: 14468.9
On Step 2918/3000 - Time Spent: 14478.9
On Step 2920/3000 - Time Spent: 14488.8
On Step 2922/3000 - Time Spent: 14498.7
On Step 2924/3000 - Time Spent: 14508.6
On Step 2926/3000 - Time Spent: 14518.6
On Step 2928/3000 - Time Spent: 14528.5
On Step 2930/3000 - Time Spent: 14538.4
On Step 2932/3000 - Time Spent: 14548.3
On Step 2934/3000 - Time Spent: 14558.3
On Step 2936/3000 - Time Spent: 14568.2
On Step 2938/3000 - Time Spent: 14578.1
On Step 2940/3000 - Time Spent: 14588
On Step 2942/3000 - Time Spent: 14597.9
On Step 2944/3000 - Time Spent: 14607.9
On Step 2946/3000 - Time Spent: 14617.8
On Step 2948/3000 - Time Spent: 14627.7
On Step 2950/3000 - Time Spent: 14637.7
On Step 2952/3000 - Time Spent: 14647.6
On Step 2954/3000 - Time Spent: 14657.5
On Step 2956/3000 - Time Spent: 14667.4
On Step 2958/3000 - Time Spent: 14677.4
On Step 2960/3000 - Time Spent: 14687.3
On Step 2962/3000 - Time Spent: 14697.2
On Step 2964/3000 - Time Spent: 14707.2
On Step 2966/3000 - Time Spent: 14717.1
On Step 2968/3000 - Time Spent: 14727
On Step 2970/3000 - Time Spent: 14736.9
On Step 2972/3000 - Time Spent: 14746.9
On Step 2974/3000 - Time Spent: 14756.8
On Step 2976/3000 - Time Spent: 14766.7
On Step 2978/3000 - Time Spent: 14776.6
On Step 2980/3000 - Time Spent: 14786.6
On Step 2982/3000 - Time Spent: 14796.5
On Step 2984/3000 - Time Spent: 14806.4
On Step 2986/3000 - Time Spent: 14816.4
On Step 2988/3000 - Time Spent: 14826.3
On Step 2990/3000 - Time Spent: 14836.2
On Step 2992/3000 - Time Spent: 14846.1
On Step 2994/3000 - Time Spent: 14856.1
On Step 2996/3000 - Time Spent: 14866
On Step 2998/3000 - Time Spent: 14875.9
On Step 3000/3000 - Time Spent: 14885.8
SIMULATION END
Simulation completed in 14885.8 seconds.

Done reading file.
C:\Users\Sam\Desktop\Elucidation-Nbody_cpp-1d03e9a>
